postsyn_consensus_list,presyn_consensus,ER_consensus,Golgi_consensus,mito_consensus,cytoskeleton_consensus,cytoplasm_consensus,nucleus_consensus
NA,NA,NA,NA,NA,NA,NA,SMCR8
NA,NA,NA,NA,NA,NA,NA,SMG1
NA,NA,NA,NA,NA,NA,NA,SMG6
NA,NA,NA,NA,NA,NA,NA,SMOX
NA,NA,NA,NA,NA,NA,NA,SMU1
NA,NA,NA,NA,NA,NA,NA,SMURF2
NA,NA,NA,NA,NA,NA,NA,SNAI2
NA,NA,NA,NA,NA,NA,NA,SNAI3
NA,NA,NA,NA,NA,NA,NA,SNAPC1
NA,NA,NA,NA,NA,NA,NA,SNAPC2
NA,NA,NA,NA,NA,NA,NA,SNAPC3
NA,NA,NA,NA,NA,NA,NA,SNAPC4
NA,NA,NA,NA,NA,NA,NA,SNAPC5
NA,NA,NA,NA,NA,NA,NA,SNIP1
NA,NA,NA,NA,NA,NA,NA,SNRNP25
NA,NA,NA,NA,NA,NA,NA,SNRNP27
NA,NA,NA,NA,NA,NA,NA,SNRNP35
NA,NA,NA,NA,NA,NA,NA,SNRNP48
NA,NA,NA,NA,NA,NA,NA,SNRPB
NA,NA,NA,NA,NA,NA,NA,SNRPD1
NA,NA,NA,NA,NA,NA,NA,SNRPD2
NA,NA,NA,NA,NA,NA,NA,SNRPE
NA,NA,NA,NA,NA,NA,NA,SNRPF
NA,NA,NA,NA,NA,NA,NA,SNRPN
NA,NA,NA,NA,NA,NA,NA,SNU13
NA,NA,NA,NA,NA,NA,NA,SNUPN
NA,NA,NA,NA,NA,NA,NA,SNURF
NA,NA,NA,NA,NA,NA,NA,SNW1
NA,NA,NA,NA,NA,NA,NA,SOBP
NA,NA,NA,NA,NA,NA,NA,SOCS1
NA,NA,NA,NA,NA,NA,NA,SOHLH1
NA,NA,NA,NA,NA,NA,NA,SON
NA,NA,NA,NA,NA,NA,NA,SORBS3
NA,NA,NA,NA,NA,NA,NA,SORL1
NA,NA,NA,NA,NA,NA,NA,SOX10
NA,NA,NA,NA,NA,NA,NA,SOX12
NA,NA,NA,NA,NA,NA,NA,SOX13
NA,NA,NA,NA,NA,NA,NA,SOX15
NA,NA,NA,NA,NA,NA,NA,SOX17
NA,NA,NA,NA,NA,NA,NA,SOX18
NA,NA,NA,NA,NA,NA,NA,SOX2
NA,NA,NA,NA,NA,NA,NA,SOX21
NA,NA,NA,NA,NA,NA,NA,SOX3
NA,NA,NA,NA,NA,NA,NA,SOX5
NA,NA,NA,NA,NA,NA,NA,SOX6
NA,NA,NA,NA,NA,NA,NA,SOX7
NA,NA,NA,NA,NA,NA,NA,SOX8
NA,NA,NA,NA,NA,NA,NA,SOX9
NA,NA,NA,NA,NA,NA,NA,SP1
NA,NA,NA,NA,NA,NA,NA,SP100
NA,NA,NA,NA,NA,NA,NA,SP110
NA,NA,NA,NA,NA,NA,NA,SP140
NA,NA,NA,NA,NA,NA,NA,SP2
NA,NA,NA,NA,NA,NA,NA,SP4
NA,NA,NA,NA,NA,NA,NA,SP5
NA,NA,NA,NA,NA,NA,NA,SP6
NA,NA,NA,NA,NA,NA,NA,SP8
NA,NA,NA,NA,NA,NA,NA,SPAG7
NA,NA,NA,NA,NA,NA,NA,SPATA2
NA,NA,NA,NA,NA,NA,NA,SPATA33
NA,NA,NA,NA,NA,NA,NA,SPC24
NA,NA,NA,NA,NA,NA,NA,SPDEF
NA,NA,NA,NA,NA,NA,NA,SPDYA
NA,NA,NA,NA,NA,NA,NA,SPI1
NA,NA,NA,NA,NA,NA,NA,SPIDR
NA,NA,NA,NA,NA,NA,NA,SPPL2B
NA,NA,NA,NA,NA,NA,NA,SPRED1
NA,NA,NA,NA,NA,NA,NA,SPRTN
NA,NA,NA,NA,NA,NA,NA,SPTY2D1
NA,NA,NA,NA,NA,NA,NA,SRA1
NA,NA,NA,NA,NA,NA,NA,SRCAP
NA,NA,NA,NA,NA,NA,NA,SREBF2
NA,NA,NA,NA,NA,NA,NA,SREK1
NA,NA,NA,NA,NA,NA,NA,SRF
NA,NA,NA,NA,NA,NA,NA,SRP14
NA,NA,NA,NA,NA,NA,NA,SRRM1
NA,NA,NA,NA,NA,NA,NA,SRRM2
NA,NA,NA,NA,NA,NA,NA,SRRT
NA,NA,NA,NA,NA,NA,NA,SRSF10
NA,NA,NA,NA,NA,NA,NA,SRSF11
NA,NA,NA,NA,NA,NA,NA,SRSF2
NA,NA,NA,NA,NA,NA,NA,SRSF3
NA,NA,NA,NA,NA,NA,NA,SRSF4
NA,NA,NA,NA,NA,NA,NA,SRSF5
NA,NA,NA,NA,NA,NA,NA,SRSF6
NA,NA,NA,NA,NA,NA,NA,SRSF7
NA,NA,NA,NA,NA,NA,NA,SS18L2
NA,NA,NA,NA,NA,NA,NA,SSB
NA,NA,NA,NA,NA,NA,NA,SSBP2
NA,NA,NA,NA,NA,NA,NA,SSH3
NA,NA,NA,NA,NA,NA,NA,ST6GALNAC3
NA,NA,NA,NA,NA,NA,NA,STAC3
NA,NA,NA,NA,NA,NA,NA,STAG3
NA,NA,NA,NA,NA,NA,NA,STAMBP
NA,NA,NA,NA,NA,NA,NA,STAU2
NA,NA,NA,NA,NA,NA,NA,STK11
NA,NA,NA,NA,NA,NA,NA,STK19
NA,NA,NA,NA,NA,NA,NA,STK33
NA,NA,NA,NA,NA,NA,NA,STK35
NA,NA,NA,NA,NA,NA,NA,STK4
NA,NA,NA,NA,NA,NA,NA,STOX1
NA,NA,NA,NA,NA,NA,NA,STPG1
NA,NA,NA,NA,NA,NA,NA,STYX
NA,NA,NA,NA,NA,NA,NA,SUFU
NA,NA,NA,NA,NA,NA,NA,SUGP2
NA,NA,NA,NA,NA,NA,NA,SUMO2
NA,NA,NA,NA,NA,NA,NA,SUMO3
NA,NA,NA,NA,NA,NA,NA,SUPT6
NA,NA,NA,NA,NA,NA,NA,SUPT7L
NA,NA,NA,NA,NA,NA,NA,SURF2
NA,NA,NA,NA,NA,NA,NA,SWI5
NA,NA,NA,NA,NA,NA,NA,SYCE2
NA,NA,NA,NA,NA,NA,NA,SYCE3
NA,NA,NA,NA,NA,NA,NA,SYCP2
NA,NA,NA,NA,NA,NA,NA,SYCP2L
NA,NA,NA,NA,NA,NA,NA,SYMPK
NA,NA,NA,NA,NA,NA,NA,SYNE2
NA,NA,NA,NA,NA,NA,NA,SYNE3
NA,NA,NA,NA,NA,NA,NA,SYNPO2L
NA,NA,NA,NA,NA,NA,NA,SYVN1
NA,NA,NA,NA,NA,NA,NA,T
NA,NA,NA,NA,NA,NA,NA,TAB1
NA,NA,NA,NA,NA,NA,NA,TADA1
NA,NA,NA,NA,NA,NA,NA,TADA2A
NA,NA,NA,NA,NA,NA,NA,TADA2B
NA,NA,NA,NA,NA,NA,NA,TADA3
NA,NA,NA,NA,NA,NA,NA,TAF1
NA,NA,NA,NA,NA,NA,NA,TAF10
NA,NA,NA,NA,NA,NA,NA,TAF11
NA,NA,NA,NA,NA,NA,NA,TAF13
NA,NA,NA,NA,NA,NA,NA,TAF15
NA,NA,NA,NA,NA,NA,NA,TAF1A
NA,NA,NA,NA,NA,NA,NA,TAF1B
NA,NA,NA,NA,NA,NA,NA,TAF1C
NA,NA,NA,NA,NA,NA,NA,TAF1D
NA,NA,NA,NA,NA,NA,NA,TAF3
NA,NA,NA,NA,NA,NA,NA,TAF4B
NA,NA,NA,NA,NA,NA,NA,TAF5
NA,NA,NA,NA,NA,NA,NA,TAF5L
NA,NA,NA,NA,NA,NA,NA,TAF6L
NA,NA,NA,NA,NA,NA,NA,TAF7
NA,NA,NA,NA,NA,NA,NA,TAF7L
NA,NA,NA,NA,NA,NA,NA,TAF8
NA,NA,NA,NA,NA,NA,NA,TAF9
NA,NA,NA,NA,NA,NA,NA,TAF9B
NA,NA,NA,NA,NA,NA,NA,TAL1
NA,NA,NA,NA,NA,NA,NA,TARBP2
NA,NA,NA,NA,NA,NA,NA,TATDN1
NA,NA,NA,NA,NA,NA,NA,TATDN2
NA,NA,NA,NA,NA,NA,NA,TATDN3
NA,NA,NA,NA,NA,NA,NA,TBL1X
NA,NA,NA,NA,NA,NA,NA,TBL1XR1
NA,NA,NA,NA,NA,NA,NA,TBPL1
NA,NA,NA,NA,NA,NA,NA,TBRG1
NA,NA,NA,NA,NA,NA,NA,TBX1
NA,NA,NA,NA,NA,NA,NA,TBX15
NA,NA,NA,NA,NA,NA,NA,TBX19
NA,NA,NA,NA,NA,NA,NA,TBX2
NA,NA,NA,NA,NA,NA,NA,TBX3
NA,NA,NA,NA,NA,NA,NA,TBX5
NA,NA,NA,NA,NA,NA,NA,TBXA2R
NA,NA,NA,NA,NA,NA,NA,TC2N
NA,NA,NA,NA,NA,NA,NA,TCEA1
NA,NA,NA,NA,NA,NA,NA,TCEA2
NA,NA,NA,NA,NA,NA,NA,TCEA3
NA,NA,NA,NA,NA,NA,NA,TCEAL1
NA,NA,NA,NA,NA,NA,NA,TCEAL7
NA,NA,NA,NA,NA,NA,NA,TCEAL8
NA,NA,NA,NA,NA,NA,NA,TCEANC2
NA,NA,NA,NA,NA,NA,NA,TCERG1
NA,NA,NA,NA,NA,NA,NA,TCF15
NA,NA,NA,NA,NA,NA,NA,TCF3
NA,NA,NA,NA,NA,NA,NA,TCF4
NA,NA,NA,NA,NA,NA,NA,TCF7
NA,NA,NA,NA,NA,NA,NA,TCF7L1
NA,NA,NA,NA,NA,NA,NA,TCF7L2
NA,NA,NA,NA,NA,NA,NA,TCFL5
NA,NA,NA,NA,NA,NA,NA,TDG
NA,NA,NA,NA,NA,NA,NA,TDP1
NA,NA,NA,NA,NA,NA,NA,TDP2
NA,NA,NA,NA,NA,NA,NA,TDRD3
NA,NA,NA,NA,NA,NA,NA,TEAD1
NA,NA,NA,NA,NA,NA,NA,TEAD2
NA,NA,NA,NA,NA,NA,NA,TEAD4
NA,NA,NA,NA,NA,NA,NA,TEN1
NA,NA,NA,NA,NA,NA,NA,TENM2
NA,NA,NA,NA,NA,NA,NA,TEP1
NA,NA,NA,NA,NA,NA,NA,TERT
NA,NA,NA,NA,NA,NA,NA,TESC
NA,NA,NA,NA,NA,NA,NA,TESK2
NA,NA,NA,NA,NA,NA,NA,TET2
NA,NA,NA,NA,NA,NA,NA,TET3
NA,NA,NA,NA,NA,NA,NA,TEX10
NA,NA,NA,NA,NA,NA,NA,TEX15
NA,NA,NA,NA,NA,NA,NA,TFAP2A
NA,NA,NA,NA,NA,NA,NA,TFAP2B
NA,NA,NA,NA,NA,NA,NA,TFAP2C
NA,NA,NA,NA,NA,NA,NA,TFCP2
NA,NA,NA,NA,NA,NA,NA,TFDP1
NA,NA,NA,NA,NA,NA,NA,TFDP2
NA,NA,NA,NA,NA,NA,NA,TFEB
NA,NA,NA,NA,NA,NA,NA,TFEC
NA,NA,NA,NA,NA,NA,NA,TFIP11
NA,NA,NA,NA,NA,NA,NA,TFPT
NA,NA,NA,NA,NA,NA,NA,TGIF1
NA,NA,NA,NA,NA,NA,NA,TGIF2
NA,NA,NA,NA,NA,NA,NA,THAP1
NA,NA,NA,NA,NA,NA,NA,THAP11
NA,NA,NA,NA,NA,NA,NA,THAP7
NA,NA,NA,NA,NA,NA,NA,THOC3
NA,NA,NA,NA,NA,NA,NA,THOC5
NA,NA,NA,NA,NA,NA,NA,THRB
NA,NA,NA,NA,NA,NA,NA,THRSP
NA,NA,NA,NA,NA,NA,NA,TIA1
NA,NA,NA,NA,NA,NA,NA,TICRR
NA,NA,NA,NA,NA,NA,NA,TIGD2
NA,NA,NA,NA,NA,NA,NA,TIGD3
NA,NA,NA,NA,NA,NA,NA,TIMELESS
NA,NA,NA,NA,NA,NA,NA,TINF2
NA,NA,NA,NA,NA,NA,NA,TIPIN
NA,NA,NA,NA,NA,NA,NA,TLE1
NA,NA,NA,NA,NA,NA,NA,TLE2
NA,NA,NA,NA,NA,NA,NA,TLE3
NA,NA,NA,NA,NA,NA,NA,TLE4
NA,NA,NA,NA,NA,NA,NA,TLK2
NA,NA,NA,NA,NA,NA,NA,TLX2
NA,NA,NA,NA,NA,NA,NA,TLX3
NA,NA,NA,NA,NA,NA,NA,TM2D1
NA,NA,NA,NA,NA,NA,NA,TMA16
NA,NA,NA,NA,NA,NA,NA,TMEM179B
NA,NA,NA,NA,NA,NA,NA,TMEM201
NA,NA,NA,NA,NA,NA,NA,TMEM38A
NA,NA,NA,NA,NA,NA,NA,TMUB1
NA,NA,NA,NA,NA,NA,NA,TNFAIP1
NA,NA,NA,NA,NA,NA,NA,TNFAIP8
NA,NA,NA,NA,NA,NA,NA,TNIP1
NA,NA,NA,NA,NA,NA,NA,TNIP2
NA,NA,NA,NA,NA,NA,NA,TNKS
NA,NA,NA,NA,NA,NA,NA,TNPO1
NA,NA,NA,NA,NA,NA,NA,TNRC18
NA,NA,NA,NA,NA,NA,NA,TNRC6C
NA,NA,NA,NA,NA,NA,NA,TOB1
NA,NA,NA,NA,NA,NA,NA,TOE1
NA,NA,NA,NA,NA,NA,NA,TONSL
NA,NA,NA,NA,NA,NA,NA,TOPORS
NA,NA,NA,NA,NA,NA,NA,TOR1AIP1
NA,NA,NA,NA,NA,NA,NA,TOX
NA,NA,NA,NA,NA,NA,NA,TOX2
NA,NA,NA,NA,NA,NA,NA,TOX3
NA,NA,NA,NA,NA,NA,NA,TRA2A
NA,NA,NA,NA,NA,NA,NA,TRAK2
NA,NA,NA,NA,NA,NA,NA,TRDMT1
NA,NA,NA,NA,NA,NA,NA,TRERF1
NA,NA,NA,NA,NA,NA,NA,TRIB2
NA,NA,NA,NA,NA,NA,NA,TRIB3
NA,NA,NA,NA,NA,NA,NA,TRIM21
NA,NA,NA,NA,NA,NA,NA,TRIM26
NA,NA,NA,NA,NA,NA,NA,TRIM27
NA,NA,NA,NA,NA,NA,NA,TRIM35
NA,NA,NA,NA,NA,NA,NA,TRIM41
NA,NA,NA,NA,NA,NA,NA,TRIM65
NA,NA,NA,NA,NA,NA,NA,TRIM66
NA,NA,NA,NA,NA,NA,NA,TRIM8
NA,NA,NA,NA,NA,NA,NA,TRIP12
NA,NA,NA,NA,NA,NA,NA,TRIP13
NA,NA,NA,NA,NA,NA,NA,TRIP4
NA,NA,NA,NA,NA,NA,NA,TRIT1
NA,NA,NA,NA,NA,NA,NA,TRMT1L
NA,NA,NA,NA,NA,NA,NA,TRMT5
NA,NA,NA,NA,NA,NA,NA,TRMT6
NA,NA,NA,NA,NA,NA,NA,TRNAU1AP
NA,NA,NA,NA,NA,NA,NA,TRO
NA,NA,NA,NA,NA,NA,NA,TRP53
NA,NA,NA,NA,NA,NA,NA,TRPM4
NA,NA,NA,NA,NA,NA,NA,TRPS1
NA,NA,NA,NA,NA,NA,NA,TSC22D1
NA,NA,NA,NA,NA,NA,NA,TSEN15
NA,NA,NA,NA,NA,NA,NA,TSEN2
NA,NA,NA,NA,NA,NA,NA,TSEN34
NA,NA,NA,NA,NA,NA,NA,TSHZ1
NA,NA,NA,NA,NA,NA,NA,TSHZ3
NA,NA,NA,NA,NA,NA,NA,TSNAX
NA,NA,NA,NA,NA,NA,NA,TSPAN1
NA,NA,NA,NA,NA,NA,NA,TSPYL1
NA,NA,NA,NA,NA,NA,NA,TSR1
NA,NA,NA,NA,NA,NA,NA,TSSK3
NA,NA,NA,NA,NA,NA,NA,TTC3
NA,NA,NA,NA,NA,NA,NA,TTC5
NA,NA,NA,NA,NA,NA,NA,TTF1
NA,NA,NA,NA,NA,NA,NA,TUBGCP2
NA,NA,NA,NA,NA,NA,NA,TULP3
NA,NA,NA,NA,NA,NA,NA,TUT1
NA,NA,NA,NA,NA,NA,NA,TWIST2
NA,NA,NA,NA,NA,NA,NA,TXNL4A
NA,NA,NA,NA,NA,NA,NA,TXNL4B
NA,NA,NA,NA,NA,NA,NA,TXNRD3
NA,NA,NA,NA,NA,NA,NA,U2AF1L4
NA,NA,NA,NA,NA,NA,NA,U2SURP
NA,NA,NA,NA,NA,NA,NA,UACA
NA,NA,NA,NA,NA,NA,NA,UBA2
NA,NA,NA,NA,NA,NA,NA,UBA7
NA,NA,NA,NA,NA,NA,NA,UBD
NA,NA,NA,NA,NA,NA,NA,UBE2A
NA,NA,NA,NA,NA,NA,NA,UBE2B
NA,NA,NA,NA,NA,NA,NA,UBE2E1
NA,NA,NA,NA,NA,NA,NA,UBE2Q1
NA,NA,NA,NA,NA,NA,NA,UBE2QL1
NA,NA,NA,NA,NA,NA,NA,UBE2T
NA,NA,NA,NA,NA,NA,NA,UBE2W
NA,NA,NA,NA,NA,NA,NA,UBE3A
NA,NA,NA,NA,NA,NA,NA,UBE4A
NA,NA,NA,NA,NA,NA,NA,UBLCP1
NA,NA,NA,NA,NA,NA,NA,UBN1
NA,NA,NA,NA,NA,NA,NA,UBN2
NA,NA,NA,NA,NA,NA,NA,UBOX5
NA,NA,NA,NA,NA,NA,NA,UBP1
NA,NA,NA,NA,NA,NA,NA,UBQLN1
NA,NA,NA,NA,NA,NA,NA,UBR2
NA,NA,NA,NA,NA,NA,NA,UBR5
NA,NA,NA,NA,NA,NA,NA,UBTF
NA,NA,NA,NA,NA,NA,NA,UBXN1
NA,NA,NA,NA,NA,NA,NA,UBXN2B
NA,NA,NA,NA,NA,NA,NA,UBXN7
NA,NA,NA,NA,NA,NA,NA,UHRF2
NA,NA,NA,NA,NA,NA,NA,UIMC1
NA,NA,NA,NA,NA,NA,NA,UNC45A
NA,NA,NA,NA,NA,NA,NA,UNCX
NA,NA,NA,NA,NA,NA,NA,UPF3A
NA,NA,NA,NA,NA,NA,NA,UPP1
NA,NA,NA,NA,NA,NA,NA,URB1
NA,NA,NA,NA,NA,NA,NA,URB2
NA,NA,NA,NA,NA,NA,NA,URI1
NA,NA,NA,NA,NA,NA,NA,USB1
NA,NA,NA,NA,NA,NA,NA,USF2
NA,NA,NA,NA,NA,NA,NA,USP1
NA,NA,NA,NA,NA,NA,NA,USP11
NA,NA,NA,NA,NA,NA,NA,USP16
NA,NA,NA,NA,NA,NA,NA,USP22
NA,NA,NA,NA,NA,NA,NA,USP28
NA,NA,NA,NA,NA,NA,NA,USP37
NA,NA,NA,NA,NA,NA,NA,USP44
NA,NA,NA,NA,NA,NA,NA,USP45
NA,NA,NA,NA,NA,NA,NA,USP48
NA,NA,NA,NA,NA,NA,NA,UTF1
NA,NA,NA,NA,NA,NA,NA,UTP11
NA,NA,NA,NA,NA,NA,NA,UTP20
NA,NA,NA,NA,NA,NA,NA,UTP4
NA,NA,NA,NA,NA,NA,NA,UTRN
NA,NA,NA,NA,NA,NA,NA,UTY
NA,NA,NA,NA,NA,NA,NA,VAX1
NA,NA,NA,NA,NA,NA,NA,VAX2
NA,NA,NA,NA,NA,NA,NA,VDR
NA,NA,NA,NA,NA,NA,NA,VEZT
NA,NA,NA,NA,NA,NA,NA,VGLL1
NA,NA,NA,NA,NA,NA,NA,VGLL3
NA,NA,NA,NA,NA,NA,NA,VGLL4
NA,NA,NA,NA,NA,NA,NA,VHL
NA,NA,NA,NA,NA,NA,NA,VPS72
NA,NA,NA,NA,NA,NA,NA,VSIG10L
NA,NA,NA,NA,NA,NA,NA,VWA5A
NA,NA,NA,NA,NA,NA,NA,WAC
NA,NA,NA,NA,NA,NA,NA,WBP4
NA,NA,NA,NA,NA,NA,NA,WDHD1
NA,NA,NA,NA,NA,NA,NA,WDR12
NA,NA,NA,NA,NA,NA,NA,WDR19
NA,NA,NA,NA,NA,NA,NA,WDR27
NA,NA,NA,NA,NA,NA,NA,WDR4
NA,NA,NA,NA,NA,NA,NA,WDR55
NA,NA,NA,NA,NA,NA,NA,WDR76
NA,NA,NA,NA,NA,NA,NA,WDYHV1
NA,NA,NA,NA,NA,NA,NA,WEE1
NA,NA,NA,NA,NA,NA,NA,WIZ
NA,NA,NA,NA,NA,NA,NA,WRAP53
NA,NA,NA,NA,NA,NA,NA,WRN
NA,NA,NA,NA,NA,NA,NA,WRNIP1
NA,NA,NA,NA,NA,NA,NA,WT1
NA,NA,NA,NA,NA,NA,NA,WWTR1
NA,NA,NA,NA,NA,NA,NA,XPA
NA,NA,NA,NA,NA,NA,NA,XPC
NA,NA,NA,NA,NA,NA,NA,XPO5
NA,NA,NA,NA,NA,NA,NA,XPO6
NA,NA,NA,NA,NA,NA,NA,XPOT
NA,NA,NA,NA,NA,NA,NA,XRCC2
NA,NA,NA,NA,NA,NA,NA,XRCC3
NA,NA,NA,NA,NA,NA,NA,XRCC4
NA,NA,NA,NA,NA,NA,NA,XRCC5
NA,NA,NA,NA,NA,NA,NA,XRCC6
NA,NA,NA,NA,NA,NA,NA,XRRA1
NA,NA,NA,NA,NA,NA,NA,YAF2
NA,NA,NA,NA,NA,NA,NA,YAP1
NA,NA,NA,NA,NA,NA,NA,YBEY
NA,NA,NA,NA,NA,NA,NA,YBX2
NA,NA,NA,NA,NA,NA,NA,YEATS2
NA,NA,NA,NA,NA,NA,NA,YTHDC1
NA,NA,NA,NA,NA,NA,NA,YTHDC2
NA,NA,NA,NA,NA,NA,NA,YY2
NA,NA,NA,NA,NA,NA,NA,ZBED4
NA,NA,NA,NA,NA,NA,NA,ZBED6
NA,NA,NA,NA,NA,NA,NA,ZBTB1
NA,NA,NA,NA,NA,NA,NA,ZBTB10
NA,NA,NA,NA,NA,NA,NA,ZBTB11
NA,NA,NA,NA,NA,NA,NA,ZBTB14
NA,NA,NA,NA,NA,NA,NA,ZBTB18
NA,NA,NA,NA,NA,NA,NA,ZBTB20
NA,NA,NA,NA,NA,NA,NA,ZBTB21
NA,NA,NA,NA,NA,NA,NA,ZBTB22
NA,NA,NA,NA,NA,NA,NA,ZBTB24
NA,NA,NA,NA,NA,NA,NA,ZBTB25
NA,NA,NA,NA,NA,NA,NA,ZBTB34
NA,NA,NA,NA,NA,NA,NA,ZBTB38
NA,NA,NA,NA,NA,NA,NA,ZBTB4
NA,NA,NA,NA,NA,NA,NA,ZBTB40
NA,NA,NA,NA,NA,NA,NA,ZBTB41
NA,NA,NA,NA,NA,NA,NA,ZBTB42
NA,NA,NA,NA,NA,NA,NA,ZBTB43
NA,NA,NA,NA,NA,NA,NA,ZBTB44
NA,NA,NA,NA,NA,NA,NA,ZBTB46
NA,NA,NA,NA,NA,NA,NA,ZBTB49
NA,NA,NA,NA,NA,NA,NA,ZBTB5
NA,NA,NA,NA,NA,NA,NA,ZBTB6
NA,NA,NA,NA,NA,NA,NA,ZBTB7A
NA,NA,NA,NA,NA,NA,NA,ZBTB7B
NA,NA,NA,NA,NA,NA,NA,ZBTB8A
NA,NA,NA,NA,NA,NA,NA,ZC3H11A
NA,NA,NA,NA,NA,NA,NA,ZC3H12D
NA,NA,NA,NA,NA,NA,NA,ZC3H4
NA,NA,NA,NA,NA,NA,NA,ZC3HC1
NA,NA,NA,NA,NA,NA,NA,ZCCHC12
NA,NA,NA,NA,NA,NA,NA,ZCCHC17
NA,NA,NA,NA,NA,NA,NA,ZCCHC4
NA,NA,NA,NA,NA,NA,NA,ZCCHC8
NA,NA,NA,NA,NA,NA,NA,ZCCHC9
NA,NA,NA,NA,NA,NA,NA,ZEB1
NA,NA,NA,NA,NA,NA,NA,ZEB2
NA,NA,NA,NA,NA,NA,NA,ZFAT
NA,NA,NA,NA,NA,NA,NA,ZFC3H1
NA,NA,NA,NA,NA,NA,NA,ZFHX2
NA,NA,NA,NA,NA,NA,NA,ZFHX3
NA,NA,NA,NA,NA,NA,NA,ZFHX4
NA,NA,NA,NA,NA,NA,NA,ZFP1
NA,NA,NA,NA,NA,NA,NA,ZFP14
NA,NA,NA,NA,NA,NA,NA,ZFP2
NA,NA,NA,NA,NA,NA,NA,ZFP219
NA,NA,NA,NA,NA,NA,NA,ZFP28
NA,NA,NA,NA,NA,NA,NA,ZFP281
NA,NA,NA,NA,NA,NA,NA,ZFP292
NA,NA,NA,NA,NA,NA,NA,ZFP3
NA,NA,NA,NA,NA,NA,NA,ZFP422
NA,NA,NA,NA,NA,NA,NA,ZFP462
NA,NA,NA,NA,NA,NA,NA,ZFP553
NA,NA,NA,NA,NA,NA,NA,ZFP609
NA,NA,NA,NA,NA,NA,NA,ZFP62
NA,NA,NA,NA,NA,NA,NA,ZFP638
NA,NA,NA,NA,NA,NA,NA,ZFP64
NA,NA,NA,NA,NA,NA,NA,ZFP69
NA,NA,NA,NA,NA,NA,NA,ZFP91
NA,NA,NA,NA,NA,NA,NA,ZFPM1
NA,NA,NA,NA,NA,NA,NA,ZFPM2
NA,NA,NA,NA,NA,NA,NA,ZFX
NA,NA,NA,NA,NA,NA,NA,ZGLP1
NA,NA,NA,NA,NA,NA,NA,ZGPAT
NA,NA,NA,NA,NA,NA,NA,ZHX1
NA,NA,NA,NA,NA,NA,NA,ZHX3
NA,NA,NA,NA,NA,NA,NA,ZIC1
NA,NA,NA,NA,NA,NA,NA,ZIC2
NA,NA,NA,NA,NA,NA,NA,ZIC3
NA,NA,NA,NA,NA,NA,NA,ZIC4
NA,NA,NA,NA,NA,NA,NA,ZKSCAN1
NA,NA,NA,NA,NA,NA,NA,ZKSCAN3
NA,NA,NA,NA,NA,NA,NA,ZMAT1
NA,NA,NA,NA,NA,NA,NA,ZMAT3
NA,NA,NA,NA,NA,NA,NA,ZMAT4
NA,NA,NA,NA,NA,NA,NA,ZMAT5
NA,NA,NA,NA,NA,NA,NA,ZMIZ1
NA,NA,NA,NA,NA,NA,NA,ZMIZ2
NA,NA,NA,NA,NA,NA,NA,ZMYND11
NA,NA,NA,NA,NA,NA,NA,ZMYND15
NA,NA,NA,NA,NA,NA,NA,ZNHIT1
NA,NA,NA,NA,NA,NA,NA,ZNHIT6
NA,NA,NA,NA,NA,NA,NA,ZNRD1
NA,NA,NA,NA,NA,NA,NA,ZRANB1
NA,NA,NA,NA,NA,NA,NA,ZRANB2
NA,NA,NA,NA,NA,NA,NA,ZRANB3
NA,NA,NA,NA,NA,NA,NA,ZSCAN18
NA,NA,NA,NA,NA,NA,NA,ZSCAN2
NA,NA,NA,NA,NA,NA,NA,ZSCAN20
NA,NA,NA,NA,NA,NA,NA,ZSCAN21
NA,NA,NA,NA,NA,NA,NA,ZXDB
NA,NA,NA,NA,NA,NA,NA,ZXDC
NA,NA,NA,NA,NA,NA,NA,ZZZ3
